,continent,region,independence_year
219,Africa,Eastern Africa,1962.0
220,Europe,Eastern Europe,1991.0
221,Oceania,Micronesia/Caribbean,
222,South America,South America,1828.0
223,North America,North America,1776.0
224,Asia,Southern and Central Asia,1991.0
225,Europe,Southern Europe,1929.0
226,North America,Caribbean,1979.0
227,South America,South America,1811.0
228,North America,Caribbean,
229,North America,Caribbean,
230,Asia,Southeast Asia,1945.0
231,Oceania,Melanesia,1980.0
232,Oceania,Polynesia,
233,Oceania,Polynesia,1962.0
234,Asia,Middle East,1918.0
235,Europe,Southern Europe,1918.0
236,Africa,Southern Africa,1910.0
237,Africa,Eastern Africa,1964.0
238,Africa,Eastern Africa,1980.0
